artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
$uicideboy$,Napoleon,['$uicideboy$'],3,54.0,54.0,100.0,0,-23.0,2
*NSYNC,Better Place,['*NSYNC'],6,25.0,25.0,96.0,0,-5.071428571428571,14
2 Chainz,Watch Out,['2 Chainz'],11,64.0,85.0,91.0,4,-4.5,6
2 Chainz Featuring Ariana Grande,Rule The World,"['2 Chainz', 'Ariana Grande']",2,94.0,94.0,98.0,0,-0.4,10
2 Chainz Featuring Travis Scott,4 AM,"['2 Chainz', 'Travis Scott']",12,55.0,73.0,95.0,2,-4.444444444444445,9
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe,"['2 Chainz', 'Ty Dolla $ign', 'Trey Songz', 'Jhene Aiko']",20,44.0,95.0,79.0,10,-3.888888888888889,9
2 Chainz Featuring YG & Offset,Proud,"['2 Chainz', 'YG', 'Offset']",2,96.0,96.0,99.0,0,-3.0,1
2 Chainz x Gucci Mane x Quavo,Good Drank,"['2 Chainz', 'Gucci Mane', 'Quavo']",16,70.0,92.0,97.0,21,-27.0,1
"2 Chainz, Drake & Quavo",Bigger > You,"['2 Chainz', 'Drake', 'Quavo']",2,53.0,53.0,60.0,0,-7.0,1
21 Savage,3AM On Glenwood,['21 Savage'],2,27.0,27.0,95.0,0,-68.0,1
21 Savage,A Lot,['21 Savage'],23,12.0,37.0,49.0,6,-2.3125,16
21 Savage,All My Friends,['21 Savage'],2,67.0,67.0,97.0,0,-30.0,1
21 Savage,All Of Me,['21 Savage'],4,18.0,18.0,88.0,0,-23.333333333333332,3
21 Savage,Bank Account,['21 Savage'],28,12.0,33.0,47.0,4,-1.5217391304347827,23
21 Savage,Can't Leave Without It,['21 Savage'],4,58.0,58.0,93.0,0,-11.666666666666666,3
21 Savage,Immortal,['21 Savage'],2,55.0,55.0,100.0,0,-45.0,1
21 Savage,Monster,['21 Savage'],3,73.0,73.0,90.0,0,-8.5,2
21 Savage,Red Opps,['21 Savage'],5,74.0,92.0,78.0,3,-4.0,1
21 Savage,Redrum,['21 Savage'],20,5.0,5.0,56.0,0,-2.6842105263157894,19
21 Savage,Sneaky,['21 Savage'],3,33.0,33.0,95.0,0,-31.0,2
21 Savage & Brent Faiyaz,Should've Wore A Bonnet,"['21 Savage', 'Brent Faiyaz']",4,40.0,40.0,90.0,0,-16.666666666666668,3
21 Savage & Doja Cat,N.H.I.E.,"['21 Savage', 'Doja Cat']",4,19.0,19.0,89.0,0,-23.333333333333332,3
21 Savage & Metro Boomin,Glock In My Lap,"['21 Savage', 'Metro Boomin']",3,19.0,19.0,82.0,0,-31.5,2
21 Savage & Metro Boomin,Many Men,"['21 Savage', 'Metro Boomin']",2,33.0,33.0,94.0,0,-61.0,1
21 Savage & Metro Boomin,My Choppa Hate N****s,"['21 Savage', 'Metro Boomin']",2,73.0,94.0,73.0,1,0.0,0
21 Savage & Metro Boomin,No Heart,"['21 Savage', 'Metro Boomin']",19,43.0,85.0,77.0,9,-3.7777777777777777,9
21 Savage & Metro Boomin,Runnin,"['21 Savage', 'Metro Boomin']",7,9.0,9.0,91.0,0,-13.666666666666666,6
21 Savage & Metro Boomin,Slidin,"['21 Savage', 'Metro Boomin']",2,32.0,32.0,88.0,0,-56.0,1
21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,"['21 Savage', 'Metro Boomin', 'Drake']",18,10.0,10.0,100.0,0,-5.294117647058823,17
21 Savage & Metro Boomin Featuring Future,X,"['21 Savage', 'Metro Boomin', 'Future']",21,36.0,98.0,49.0,9,-1.1818181818181819,11
21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,"['21 Savage', 'Metro Boomin', 'Young Thug']",2,26.0,26.0,74.0,0,-48.0,1
21 Savage & Summer Walker,Prove It,"['21 Savage', 'Summer Walker']",19,43.0,43.0,96.0,0,-1.2325581395348837,43
"21 Savage, Lil Durk & Metro Boomin",Dangerous,"['21 Savage', 'Lil Durk', 'Metro Boomin']",2,35.0,35.0,76.0,0,-41.0,1
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,"['21 Savage', 'Offset', 'Metro Boomin', 'Quavo']",3,64.0,74.0,88.0,1,-24.0,1
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",7,35.0,57.0,90.0,1,-11.0,5
"21 Savage, Tommy Newport & Mikky Ekko",Red Sky,"['21 Savage', 'Tommy Newport', 'Mikky Ekko']",2,57.0,57.0,100.0,0,-43.0,1
"21 Savage, Travis Scott & Metro Boomin",Nee-nah,"['21 Savage', 'Travis Scott', 'Metro Boomin']",10,10.0,10.0,89.0,0,-8.777777777777779,9
"21 Savage, Young Thug & Metro Boomin",Pop Ur Sht,"['21 Savage', 'Young Thug', 'Metro Boomin']",2,31.0,31.0,80.0,0,-49.0,1
24kGoldn Featuring iann dior,Mood,"['24kGoldn', 'iann dior']",52,1.0,84.0,48.0,9,-1.119047619047619,42
310babii,Soak City,['310babii'],19,53.0,100.0,99.0,18,-9.2,5
4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,"[""4*TOWN (From Disney And Pixar's Turning Red)""]",5,49.0,50.0,79.0,1,-10.0,3
42 Dugg & Roddy Ricch,4 Da Gang,"['42 Dugg', 'Roddy Ricch']",14,67.0,67.0,92.0,0,-1.7857142857142858,14
42 Dugg Featuring Future,Maybach,"['42 Dugg', 'Future']",9,68.0,68.0,98.0,0,-1.1111111111111112,27
4batz Featuring Drake,Act II: Date @ 8,"['4batz', 'Drake']",20,7.0,77.0,63.0,9,-5.6,10
5 Seconds of Summer,Complete Mess,['5 Seconds of Summer'],3,85.0,91.0,85.0,1,0.0,1
5 Seconds of Summer,Easier,['5 Seconds of Summer'],16,48.0,48.0,90.0,0,-2.8,15
5 Seconds of Summer,Youngblood,['5 Seconds of Summer'],48,7.0,96.0,50.0,18,-1.4827586206896552,29
6LACK,Prblms,['6LACK'],8,72.0,95.0,82.0,6,-3.3333333333333335,3
6ix9ine,Billy,['6ix9ine'],8,50.0,60.0,91.0,2,-8.2,5
6ix9ine,Gooba,['6ix9ine'],10,3.0,3.0,100.0,0,-10.777777777777779,9
6ix9ine,Gummo,['6ix9ine'],19,12.0,58.0,56.0,4,-3.142857142857143,14
6ix9ine,Kooda,['6ix9ine'],8,50.0,61.0,89.0,1,-3.9,10
6ix9ine & Nicki Minaj,Trollz,"['6ix9ine', 'Nicki Minaj']",4,1.0,1.0,83.0,0,-27.333333333333332,3
6ix9ine Featuring A Boogie wit da Hoodie,WAKA,"['6ix9ine', 'A Boogie wit da Hoodie']",3,51.0,71.0,78.0,1,-27.0,1
6ix9ine Featuring Anuel AA,BEBE,"['6ix9ine', 'Anuel AA']",5,30.0,30.0,86.0,0,-4.666666666666667,12
6ix9ine Featuring Bobby Shmurda,STOOPID,"['6ix9ine', 'Bobby Shmurda']",9,25.0,25.0,89.0,0,-8.0,8
6ix9ine Featuring DJ SPINKING,TATI,"['6ix9ine', 'DJ SPINKING']",5,46.0,46.0,72.0,0,-6.5,4
6ix9ine Featuring Lil Baby,TIC TOC,"['6ix9ine', 'Lil Baby']",3,53.0,62.0,91.0,1,-38.0,1
6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,"['6ix9ine', 'Nicki Minaj', 'Kanye West']",4,43.0,58.0,100.0,1,-28.5,2
